"opencomputers:adapter:0","适配器"
"opencomputers:tool:5","纳米机器"
"opencomputers:tool:2","远程终端"
"opencomputers:tool:3","材质选择器"
"opencomputers:wrench:0","螺丝刀扳手"
"opencomputers:hoverboots:0","悬浮靴"
"opencomputers:component:16","基础加速运算单元(APU)"
"opencomputers:component:17","高级加速运算单元(APU)"
"opencomputers:component:18","创造加速运算单元(APU)"
"opencomputers:component:3","基础组件总线"
"opencomputers:component:4","高级组件总线"
"opencomputers:component:5","超级组件总线"
"opencomputers:component:0","基础中央处理器(CPU)"
"opencomputers:component:1","高级中央处理器(CPU)"
"opencomputers:component:2","超级中央处理器(CPU)"
"opencomputers:component:20","软盘驱动器"
"opencomputers:component:6","存储器-T1"
"opencomputers:component:7","存储器-T1.5"
"opencomputers:component:8","存储器-T2"
"opencomputers:component:9","存储器-T2.5"
"opencomputers:component:10","存储器-T3"
"opencomputers:component:11","存储器-T3.5"
"opencomputers:component:13","基础服务器"
"opencomputers:component:14","高级服务器"
"opencomputers:component:15","超级服务器"
"opencomputers:component:12","创造模式服务器"
"opencomputers:component:19","终端服务器"
"opencomputers:card:10","基础数据卡"
"opencomputers:card:11","高级数据卡"
"opencomputers:card:12","超级数据卡"
"opencomputers:card:0","调试卡"
"opencomputers:card:1","基础显卡"
"opencomputers:card:2","高级显卡"
"opencomputers:card:3","超级显卡"
"opencomputers:card:8","因特网卡"
"opencomputers:card:9","连接卡"
"opencomputers:card:6","网卡"
"opencomputers:card:4","基础红石卡"
"opencomputers:card:5","高级红石卡"
"opencomputers:card:7","无线网卡"
"opencomputers:upgrade:32","组件总线（创造模式）"
"opencomputers:upgrade:0","天使方块升级"
"opencomputers:upgrade:1","基础电池升级"
"opencomputers:upgrade:2","高级电池升级"
"opencomputers:upgrade:3","超级电池升级"
"opencomputers:upgrade:4","区块载入升级"
"opencomputers:upgrade:5","基础卡槽"
"opencomputers:upgrade:6","高级卡槽"
"opencomputers:upgrade:7","超级卡槽"
"opencomputers:upgrade:8","基础升级组件容器"
"opencomputers:upgrade:9","高级升级组件容器"
"opencomputers:upgrade:10","超级升级组件容器"
"opencomputers:upgrade:11","合成升级"
"opencomputers:upgrade:12","基础数据库升级"
"opencomputers:upgrade:13","高级数据库升级"
"opencomputers:upgrade:14","超级数据库升级"
"opencomputers:upgrade:15","经验升级"
"opencomputers:upgrade:16","发电机升级"
"opencomputers:upgrade:27","基础悬浮升级"
"opencomputers:upgrade:28","高级悬浮升级"
"opencomputers:upgrade:17","物品栏升级"
"opencomputers:upgrade:18","物品栏控制器升级"
"opencomputers:upgrade:26","缰绳升级"
"opencomputers:upgrade:30","MFU"
"opencomputers:upgrade:19","导航升级"
"opencomputers:upgrade:20","活塞升级"
"opencomputers:upgrade:21","告示牌读写升级"
"opencomputers:upgrade:22","太阳能发电机升级"
"opencomputers:upgrade:23","储罐升级"
"opencomputers:upgrade:24","储罐控制器升级"
"opencomputers:upgrade:25","牵引光束升级"
"opencomputers:upgrade:29","交易升级"
"opencomputers:upgrade:31","无线网卡"
"opencomputers:storage:0","EEPROM"
"opencomputers:storage:1","软盘"
"opencomputers:storage:2","基础硬盘驱动器 (1MB)"
"opencomputers:storage:3","高级硬盘驱动器 (2MB)"
"opencomputers:storage:4","超级硬盘驱动器 (4MB)"
"opencomputers:hoverboots:0","悬浮靴"
"opencomputers:storage:0","EEPROM (Lua BIOS)"
"opencomputers:storage:1","Plan9k (Operating System)"
"opencomputers:storage:1","Network (Network Stack)"
"opencomputers:storage:1","OpenOS (Operating System)"
"opencomputers:storage:1","Data Card Software"
"opencomputers:storage:1","OpenLoader (Boot Loader)"
"opencomputers:storage:1","Builder"
"opencomputers:storage:1","Generator Upgrade Software"
"opencomputers:storage:1","OPPM (Package Manager)"
"opencomputers:storage:1","Digger"
"opencomputers:storage:1","Mazer"
"opencomputers:storage:1","OpenIRC (IRC Client)"
