-<enchantment:ebwizardry:freezing_weapon> - 冰霜灌注 I (at level 1, max level 4, treasure: no, enchant id 37)
-<enchantment:minecraft:blast_protection> - 爆炸保护 I (at level 1, max level 4, treasure: no, enchant id 3)
-<enchantment:minecraft:bane_of_arthropods> - 节肢杀手 I (at level 1, max level 5, treasure: no, enchant id 18)
-<enchantment:minecraft:silk_touch> - 精准采集 (at level 1, max level 1, treasure: no, enchant id 33)
-<enchantment:minecraft:looting> - 抢夺 I (at level 1, max level 3, treasure: no, enchant id 21)
-<enchantment:extrautils2:xu.zoomerang> - 回旋提速 I (at level 1, max level 3, treasure: no, enchant id 12)
-<enchantment:minecraft:depth_strider> - 深海探索者 I (at level 1, max level 3, treasure: no, enchant id 8)
-<enchantment:abyssalcraft:dread> - 恐惧 (at level 1, max level 1, treasure: no, enchant id 46)
-<enchantment:minecraft:respiration> - 水下呼吸 I (at level 1, max level 3, treasure: no, enchant id 5)
-<enchantment:ebwizardry:magic_bow> - 魔力灌注 I (at level 1, max level 4, treasure: no, enchant id 31)
-<enchantment:apotheosis:stable_footing> - 稳定立足 (at level 1, max level 1, treasure: no, enchant id 56)
-<enchantment:abyssalcraft:iron_wall> - 铁壁 (at level 1, max level 1, treasure: no, enchant id 52)
-<enchantment:ebwizardry:flaming_weapon> - 火焰灌注 I (at level 1, max level 4, treasure: no, enchant id 36)
-<enchantment:apotheosis:splitting> - 分裂 I (at level 1, max level 5, treasure: no, enchant id 67)
-<enchantment:minecraft:infinity> - 无限 (at level 1, max level 1, treasure: no, enchant id 51)
-<enchantment:minecraft:protection> - 保护 I (at level 1, max level 4, treasure: no, enchant id 0)
