"projectred-illumination:lamp:0","白色灯"
"projectred-illumination:inverted_fallout_lamp:8","反相淡灰色罩灯"
"projectred-illumination:inverted_fallout_lamp:9","反相青色罩灯"
"projectred-illumination:inverted_fallout_lamp:10","反相紫色罩灯"
"projectred-illumination:inverted_fallout_lamp:11","反相蓝色罩灯"
"projectred-illumination:inverted_fallout_lamp:12","反相棕色罩灯"
"projectred-illumination:inverted_fallout_lamp:13","反相绿色罩灯"
"projectred-illumination:inverted_fallout_lamp:14","反相红色罩灯"
"projectred-illumination:inverted_fallout_lamp:15","反相黑色罩灯"
"projectred-illumination:cage_lamp:0","白色笼灯"
"projectred-illumination:cage_lamp:1","橙色笼灯"
"projectred-illumination:cage_lamp:2","品红色笼灯"
"projectred-illumination:cage_lamp:3","浅蓝色笼灯"
"projectred-illumination:cage_lamp:4","黄色笼灯"
"projectred-illumination:cage_lamp:5","黄绿色笼灯"
"projectred-illumination:cage_lamp:6","粉色笼灯"
"projectred-illumination:cage_lamp:7","灰色笼灯"
"projectred-illumination:cage_lamp:8","浅灰色笼灯"
"projectred-illumination:cage_lamp:9","青色笼灯"
"projectred-illumination:cage_lamp:10","紫色笼灯"
"projectred-illumination:cage_lamp:11","蓝色笼灯"
"projectred-illumination:cage_lamp:12","棕色笼灯"
"projectred-illumination:cage_lamp:13","绿色笼灯"
"projectred-illumination:cage_lamp:14","红色笼灯"
"projectred-illumination:cage_lamp:15","黑色笼灯"
"projectred-illumination:inverted_cage_lamp:0","反相白色笼灯"
"projectred-illumination:inverted_cage_lamp:1","反相橙色笼灯"
"projectred-illumination:inverted_cage_lamp:2","反相品红色笼灯"
"projectred-illumination:inverted_cage_lamp:3","反相浅蓝色笼灯"
"projectred-illumination:inverted_cage_lamp:4","反相黄色笼灯"
"projectred-illumination:inverted_cage_lamp:5","反相黄绿色笼灯"
"projectred-illumination:inverted_cage_lamp:6","反相粉色笼灯"
"projectred-illumination:inverted_cage_lamp:7","反相灰色笼灯"
"projectred-illumination:inverted_cage_lamp:8","反相浅灰色笼灯"
"projectred-illumination:inverted_cage_lamp:9","反相青色笼灯"
"projectred-illumination:inverted_cage_lamp:10","反相紫色笼灯"
"projectred-illumination:inverted_cage_lamp:11","反相蓝色笼灯"
"projectred-illumination:inverted_cage_lamp:12","反相棕色笼灯"
"projectred-illumination:inverted_cage_lamp:13","反相绿色笼灯"
"projectred-illumination:inverted_cage_lamp:14","反相红色笼灯"
"projectred-illumination:inverted_cage_lamp:15","反相黑色笼灯"
