"#ignore rows that start with a '#'"

"#Item format: ""modname:item_name:metadata {nbt_data}"" metadata and {nbt_data} are optional. Can also use crafttweaker formatting (eg. ""<modname:item_name:metadata>.withTag{nbt_data}"")"
"#Fluid format: ""fluid:fluid_name"" where fluid is literal. Can also use crafttweaker formatting"

"#Other configurations found within adminshop.cfg, such as selling price of Forge Energy"
"#See the examples below with the default shop"

"#Category names for buy and sell. Put the category name in each column after the first"
"Buy Category Names:","Exchangeable","Building Materials","Dyed Block","Dye & Ammo","Logs","Misc"
"Sell Category Names:","Exchangeable","Crops","Misc"
"buy","minecraft:concrete:2","6","2"
"buy","minecraft:concrete:3","6","2"
"buy","minecraft:concrete:4","6","2"
"buy","minecraft:concrete:5","6","2"
"buy","minecraft:concrete:6","6","2"
"buy","minecraft:concrete:7","6","2"
"buy","minecraft:concrete:8","6","2"
"buy","minecraft:concrete:9","6","2"
"buy","minecraft:concrete:10","6","2"
"buy","minecraft:concrete:11","6","2"
"buy","minecraft:concrete:12","6","2"
"buy","minecraft:concrete:13","6","2"
"buy","minecraft:concrete:14","6","2"
"buy","minecraft:concrete:15","6","2"


"#Dye"
"buy","minecraft:dye:0","1","3"
"buy","minecraft:dye:1","1","3"
"buy","minecraft:dye:2","1","3"
"buy","biomesoplenty:brown_dye","1","3"
"buy","biomesoplenty:blue_dye","1","3"
"buy","minecraft:dye:5","1","3"
"buy","minecraft:dye:6","1","3"
"buy","minecraft:dye:7","1","3"
"buy","minecraft:dye:8","1","3"
"buy","minecraft:dye:9","1","3"
"buy","minecraft:dye:10","1","3"
"buy","minecraft:dye:11","1","3"
"buy","minecraft:dye:12","1","3"
"buy","minecraft:dye:13","1","3"
"buy","minecraft:dye:14","1","3"
"buy","biomesoplenty:white_dye","1","3"

"#Ammo"
"buy","openmodularturrets:ammo_meta:0","1.4","3"
"buy","openmodularturrets:ammo_meta:1","0.5","3"
"buy","openmodularturrets:ammo_meta:2","1.3","3"
"buy","openmodularturrets:ammo_meta:3","1.3","3"
"buy","openmodularturrets:ammo_meta:4","3.3","3"
"buy","tconstruct:throwball:0","2","3"
"buy","tconstruct:throwball:1","30","3"
"buy","minecraft:fireworks {Fireworks:{Flight:1b}}","75","3"
"buy","minecraft:fireworks {Fireworks:{Flight:2b}}","75","3"
"buy","minecraft:fireworks {Fireworks:{Flight:3b}}","75","3"
"buy","ebwizardry:firebomb","30","3"
"buy","ebwizardry:poison_bomb","30","3"
"buy","ebwizardry:smoke_bomb","30","3"
"buy","ebwizardry:spark_bomb","30","3"
"buy","immersiveengineering:bullet:2 {bullet:""casull""}","25","3"
"buy","immersiveengineering:bullet:2 {bullet:""armor_piercing""}","27","3"
"buy","immersiveengineering:bullet:2 {bullet:""buckshot""}","27","3"
"buy","immersiveengineering:bullet:2 {bullet:""he""}","150","3"
"buy","immersiveengineering:bullet:2 {bullet:""silver""}","30","3"
"buy","immersiveengineering:bullet:2 {bullet:""dragonsbreath""}","30","3"
"buy","immersiveengineering:bullet:2 {bullet:""potion""}","25","3"

"#Logs"
"buy","minecraft:log:0","7.5","4"
"buy","minecraft:log:1","7.5","4"
"buy","minecraft:log:2","7.5","4"
"buy","minecraft:log:3","7.5","4"
"buy","minecraft:log2:0","7.5","4"
"buy","minecraft:log2:1","7.5","4"
"buy","abyssalcraft:dltlog","7.5","4"
"buy","abyssalcraft:dltlog2","7.5","4"
"buy","abyssalcraft:dreadlog","7.5","4"
"buy","biomesoplenty:log_0:4","7.5","4"
"buy","biomesoplenty:log_0:5","7.5","4"
"buy","biomesoplenty:log_0:6","7.5","4"
"buy","biomesoplenty:log_0:7","7.5","4"
"buy","biomesoplenty:log_1:4","7.5","4"
"buy","biomesoplenty:log_1:5","7.5","4"
"buy","biomesoplenty:log_1:6","7.5","4"
"buy","biomesoplenty:log_1:7","7.5","4"
"buy","biomesoplenty:log_2:4","7.5","4"
"buy","biomesoplenty:log_2:5","7.5","4"
"buy","biomesoplenty:log_2:6","7.5","4"
"buy","biomesoplenty:log_2:7","7.5","4"
"buy","biomesoplenty:log_3:4","7.5","4"
"buy","biomesoplenty:log_3:5","7.5","4"
"buy","biomesoplenty:log_3:6","7.5","4"
"buy","biomesoplenty:log_3:7","7.5","4"
"buy","biomesoplenty:log_4:4","7.5","4"
"buy","biomesoplenty:log_4:5","7.5","4"
"buy","aether_legacy:aether_log:0","7.5","4"
"buy","aether_legacy:aether_log:1","7.5","4"
"buy","rustic:log:0","7.5","4"
"buy","rustic:log:1","7.5","4"

"#Crafting Materials"
"#buy","iceandfire:fire_lily","30000","5"
"#buy","iceandfire:frost_lily","30000","5"
"#buy","minecraft:glowstone_dust","60","5"
"#buy","minecraft:elytra","80000","5"
"#buy","scalinghealth:heartcontainer","20000","5"
"#buy","scalinghealth:difficultychanger:0","50000","5"
"#buy","scalinghealth:healingitem:0","250","5"
"#buy","scalinghealth:healingitem:1","750","5"
"buy","akashictome:tome {""akashictome:data"":{tconstruct:{id:""tconstruct:book"",Count:1b,tag:{""akashictome:definedMod"":""tconstruct""},Damage:0s},rustic:{id:""rustic:book"",Count:1b,tag:{""akashictome:definedMod"":""rustic""},Damage:0s},mysticalworld:{id:""patchouli:guide_book"",Count:1b,tag:{""akashictome:definedMod"":""mysticalworld"",""patchouli:book"":""mysticalworld:world_guide""},Damage:0s},conarm:{id:""conarm:book"",Count:1b,tag:{""akashictome:definedMod"":""conarm""},Damage:0s},extrautils2:{id:""extrautils2:book"",Count:1b,tag:{""akashictome:definedMod"":""extrautils2""},Damage:0s},ftbquests:{id:""ftbquests:book"",Count:1b,tag:{""akashictome:definedMod"":""ftbquests""},Damage:0s},immersiveengineering:{id:""immersiveengineering:tool"",Count:1b,tag:{""akashictome:definedMod"":""immersiveengineering""},Damage:3s},roots:{id:""patchouli:guide_book"",Count:1b,tag:{""akashictome:definedMod"":""roots"",""patchouli:book"":""roots:roots_guide""},Damage:0s},cookingforblockheads:{id:""cookingforblockheads:recipe_book"",Count:1b,tag:{""akashictome:definedMod"":""cookingforblockheads""},Damage:1s},iceandfire:{id:""iceandfire:bestiary"",Count:1b,tag:{""akashictome:definedMod"":""iceandfire""},Damage:0s},openblocks:{id:""openblocks:info_book"",Count:1b,tag:{""akashictome:definedMod"":""openblocks""},Damage:0s},ebwizardry:{id:""ebwizardry:wizard_handbook"",Count:1b,tag:{""akashictome:definedMod"":""ebwizardry""},Damage:0s}}}","100","5"
"#buy","iceandfire:manuscript","300","5"
"#buy","tconstruct:materials:50","1000000","5"

"#Tools"
"buy","betterbuilderswands:wandunbreakable:12","32768","5"


"#sell (from player's perspective)","Item/Fluid","Price","Category Index (starting from 0)"
"#Exchangeable"
"sell","iceandfire:sapphire_gem","250","0"
"sell","minecraft:emerald","250","0"
"sell","harvestcraft:creepercookieitem","50","0"
"sell","minecraft:dirt","1","0"
"sell","minecraft:cobble_stone","1","0"

"# Crops"
"sell","minecraft:wheat","3","1"
"sell","minecraft:carrot","1","1"
"sell","minecraft:potato","1","1"
"sell","minecraft:poisonous_potato","50","1"
"sell","harvestcraft:soybeanitem","1","1"
"sell","ore:listAllseed","1","1"
"sell","minecraft:pumpkin","6","1"
"sell","minecraft:melon_block","13.5","1"
"sell","ore:listAllfruit","2","1"
"sell","ore:listAllveggie","2","1"
"sell","ore:cropRice","2","1"
"sell","ore:listAllgrain","2","1"
"sell","ore:cropCoffee","5","1"
"sell","ore:listAllspice","5","1"
"sell","ore:listAllherb","5","1"

"# Misc"
"sell","minecraft:leather","6","2"
"sell","minecraft:coal:1","5","2"
"sell","minecraft:stone:1","2","2"
"sell","minecraft:stone:3","2","2"
"sell","minecraft:stone:5","2","2"
"sell","abyssalcraft:charcoal","7","2"
"sell","minecraft:diamond","25","2"
"sell","minecraft:rotten_flesh","10","2"
"sell","minecraft:netherrack","0.2","2"
"sell","rustic:slate","2","2"
