"tconstruct:fancy_frame:0","平滑展示框"
"tconstruct:slime_congealed:4","凝固熔岩史莱姆块"
"tconstruct:ore:0","钴矿石"
"tconstruct:ore:1","阿迪特矿石"
"tconstruct:firewood:0","熔岩木"
"tconstruct:firewood:1","烈焰木"
"tconstruct:deco_ground:0","泥砖"
"tconstruct:clear_glass:0","通透玻璃"
"tconstruct:clear_stained_glass:0","通透白色染色玻璃"
"tconstruct:clear_stained_glass:1","通透橙色染色玻璃"
"tconstruct:clear_stained_glass:2","通透品红色染色玻璃"
"tconstruct:clear_stained_glass:3","通透淡蓝色染色玻璃"
"tconstruct:clear_stained_glass:4","通透黄色染色玻璃"
"tconstruct:clear_stained_glass:5","通透黄绿色染色玻璃"
"tconstruct:clear_stained_glass:6","通透粉红色染色玻璃"
"tconstruct:clear_stained_glass:7","通透灰色染色玻璃"
"tconstruct:clear_stained_glass:8","通透淡灰色染色玻璃"
"tconstruct:clear_stained_glass:9","通透青色染色玻璃"
"tconstruct:clear_stained_glass:10","通透紫色染色玻璃"
"tconstruct:clear_stained_glass:11","通透蓝色染色玻璃"
"tconstruct:clear_stained_glass:12","通透棕色染色玻璃"
"tconstruct:clear_stained_glass:13","通透绿色染色玻璃"
"tconstruct:clear_stained_glass:14","通透红色染色玻璃"
"tconstruct:clear_stained_glass:15","通透黑色染色玻璃"
"tconstruct:deco_ground_slab:0","泥砖台阶"
"tconstruct:firewood_slab:0","熔岩木台阶"
"tconstruct:firewood_slab:1","烈焰木台阶"
"tconstruct:mudbrick_stairs:0","泥砖楼梯"
"tconstruct:firewood_stairs:0","烈焰木楼梯"
"tconstruct:lavawood_stairs:0","熔岩木楼梯"
"tconstruct:nuggets:0","钴粒"
"tconstruct:nuggets:1","阿迪特粒"
"tconstruct:nuggets:2","玛玉灵粒"
"tconstruct:nuggets:3","骑士史莱姆粒"
"tconstruct:nuggets:4","生铁粒"
"tconstruct:nuggets:5","铝黄铜粒"
"tconstruct:ingots:0","钴锭"
"tconstruct:ingots:1","阿迪特锭"
"tconstruct:ingots:2","玛玉灵锭"
"tconstruct:ingots:3","骑士史莱姆锭"
"tconstruct:ingots:4","生铁锭"
"tconstruct:ingots:5","铝黄铜锭"
"tconstruct:materials:0","焦黑砖"
"tconstruct:materials:1","泥巴砖"
"tconstruct:materials:2","干燥粘土砖"
"tconstruct:materials:9","绿色史莱姆水晶"
"tconstruct:materials:10","蓝色史莱姆水晶"
"tconstruct:materials:11","熔岩史莱姆水晶"
"tconstruct:materials:12","范围升级器（水平）"
"tconstruct:materials:13","范围升级器（垂直）"
"tconstruct:materials:14","耐久强化大板"
"tconstruct:materials:15","绢布"
"tconstruct:materials:16","精致珠宝"
"tconstruct:materials:17","凋零之骨"
"tconstruct:materials:18","苔藓球"
"tconstruct:materials:19","修复苔藓"
"tconstruct:materials:50","创造模式强化头颅"
"tconstruct:edible:0","培根"
"tconstruct:edible:1","史莱姆球"
"tconstruct:edible:2","史莱姆球"
"tconstruct:edible:3","凝血"
"tconstruct:edible:4","史莱姆球"
"tconstruct:edible:10","腐肉干"
"tconstruct:edible:11","牛肉干"
"tconstruct:edible:12","鸡肉干"
"tconstruct:edible:13","培根干"
"tconstruct:edible:14","羊肉干"
"tconstruct:edible:15","兔肉干"
"tconstruct:edible:20","鱼干"
"tconstruct:edible:21","鲑鱼干"
"tconstruct:edible:22","小丑鱼干"
"tconstruct:edible:23","河豚干"
"tconstruct:edible:30","黏胶史莱姆液滴"
"tconstruct:edible:31","黏胶史莱姆液滴"
"tconstruct:edible:32","黏胶史莱姆液滴"
"tconstruct:edible:33","凝血滴"
"tconstruct:edible:34","黏胶史莱姆液滴"
"tconstruct:metal:0","钴块"
"tconstruct:metal:1","阿迪特块"
"tconstruct:metal:2","玛玉灵块"
"tconstruct:metal:3","骑士史莱姆块"
"tconstruct:metal:4","生铁块"
"tconstruct:metal:5","铝黄铜块"
"tconstruct:metal:6","精致珠宝块"
"tconstruct:slime_dirt:0","绿色史莱姆泥土"
"tconstruct:slime_dirt:1","蓝色史莱姆泥土"
"tconstruct:slime_dirt:2","紫色史莱姆泥土"
"tconstruct:slime_dirt:3","熔岩史莱姆泥土"
"tconstruct:slime_grass:0","史莱姆草方块"
"tconstruct:slime_grass:1","绿色史莱姆草方块"
"tconstruct:slime_grass:2","蓝色史莱姆草方块"
"tconstruct:slime_grass:3","紫色史莱姆草方块"
"tconstruct:slime_grass:4","熔岩史莱姆草方块"
"tconstruct:slime_grass:5","史莱姆草方块"
"tconstruct:slime_grass:6","绿色史莱姆草方块"
"tconstruct:slime_grass:7","蓝色史莱姆草方块"
"tconstruct:slime_grass:8","紫色史莱姆草方块"
"tconstruct:slime_grass:9","熔岩史莱姆草方块"
"tconstruct:slime_grass:10","史莱姆草方块"
"tconstruct:slime_grass:11","绿色史莱姆草方块"
"tconstruct:slime_grass:12","蓝色史莱姆草方块"
"tconstruct:slime_grass:13","紫色史莱姆草方块"
"tconstruct:slime_grass:14","熔岩史莱姆草方块"
"tconstruct:slime_leaves:0","史莱姆树叶"
"tconstruct:slime_leaves:1","史莱姆树叶"
"tconstruct:slime_leaves:2","史莱姆树叶"
"tconstruct:slime_grass_tall:0","史莱姆草"
"tconstruct:slime_grass_tall:4","史莱姆草"
"tconstruct:slime_grass_tall:8","史莱姆草"
"tconstruct:slime_grass_tall:1","史莱姆蕨"
"tconstruct:slime_grass_tall:5","史莱姆蕨"
"tconstruct:slime_grass_tall:9","史莱姆蕨"
"tconstruct:slime_sapling:0","蓝色史莱姆树苗"
"tconstruct:slime_sapling:1","紫色史莱姆树苗"
"tconstruct:slime_sapling:2","熔岩史莱姆树苗"
"tconstruct:slime_vine_blue_end:0","蓝色史莱姆藤蔓"
"tconstruct:slime_vine_blue_mid:0","蓝色史莱姆藤蔓"
"tconstruct:slime_vine_blue:0","蓝色史莱姆藤蔓"
"tconstruct:slime_vine_purple_end:0","紫色史莱姆藤蔓"
"tconstruct:slime_vine_purple_mid:0","紫色史莱姆藤蔓"
"tconstruct:slime_vine_purple:0","紫色史莱姆藤蔓"
"tconstruct:pattern:0","空白模具"
"tconstruct:pattern:0","靴子基底模具"
"tconstruct:pattern:0","刀刃模具"
"tconstruct:pattern:0","箭头模具"
"tconstruct:pattern:0","剑刃模具"
"tconstruct:pattern:0","护腿基底模具"
"tconstruct:pattern:0","胸甲基底模具"
"tconstruct:pattern:0","绑定结模具"
"tconstruct:pattern:0","激光传导器模具"
"tconstruct:pattern:0","铲头模具"
"tconstruct:pattern:0","箭杆模具"
"tconstruct:pattern:0","镐头模具"
"tconstruct:pattern:0","宽剑刃模具"
"tconstruct:pattern:0","蓄电池模具"
"tconstruct:pattern:0","弓臂模具"
"tconstruct:pattern:0","弓弦模具"
"tconstruct:pattern:0","镰刀头模具"
"tconstruct:pattern:0","枪管模具"
"tconstruct:pattern:0","坚韧绑定结模具"
"tconstruct:pattern:0","磨制工具模具"
"tconstruct:pattern:0","开掘铲头模具"
"tconstruct:pattern:0","护甲板模具"
"tconstruct:pattern:0","十字柄模具"
"tconstruct:pattern:0","牌板模具"
"tconstruct:pattern:0","箭羽模具"
"tconstruct:pattern:0","宽护手模具"
"tconstruct:pattern:0","碎片模具"
"tconstruct:pattern:0","宽斧刃模具"
"tconstruct:pattern:0","手柄模具"
"tconstruct:pattern:0","锤头模具"
"tconstruct:pattern:0","坚韧手柄模具"
"tconstruct:pattern:0","护甲夹板模具"
"tconstruct:pattern:0","抛光工具模具"
"tconstruct:pattern:0","大板模具"
"tconstruct:pattern:0","盘模具"
"tconstruct:pattern:0","园艺镰头模具"
"tconstruct:pattern:0","头盔基底模具"
"tconstruct:pattern:0","斧刃模具"
"tconstruct:pattern:0","护手模具"
"tconstruct:shard:0","龙骨 碎片"
"tconstruct:shard:0","沙漠蚁甲 碎片"
"tconstruct:shard:0","丛林蚁甲 碎片"
"tconstruct:shard:0","龙炎钢 碎片"
"tconstruct:shard:0","龙霜钢 碎片"
"tconstruct:shard:0","娜迦鳞片 碎片"
"tconstruct:shard:0","钢叶 碎片"
"tconstruct:shard:0","炽铁 碎片"
"tconstruct:shard:0","骑士金属 碎片"
"tconstruct:shard:0","圆石 碎片"
"tconstruct:shard:0","燧石 碎片"
"tconstruct:shard:0","仙人掌 碎片"
"tconstruct:shard:0","骨头 碎片"
"tconstruct:shard:0","黑曜石 碎片"
"tconstruct:shard:0","海晶石 碎片"
"tconstruct:shard:0","末地石 碎片"
"tconstruct:shard:0","纸 碎片"
"tconstruct:shard:0","海绵 碎片"
"tconstruct:shard:0","烈焰木 碎片"
"tconstruct:shard:0","铁 碎片"
"tconstruct:shard:0","生铁 碎片"
"tconstruct:shard:0","骑士史莱姆 碎片"
"tconstruct:shard:0","史莱姆 碎片"
"tconstruct:shard:0","史莱姆 碎片"
"tconstruct:shard:0","熔岩史莱姆 碎片"
"tconstruct:shard:0","地狱岩 碎片"
"tconstruct:shard:0","钴 碎片"
"tconstruct:shard:0","阿迪特 碎片"
"tconstruct:shard:0","玛玉灵 碎片"
"tconstruct:shard:0","铜 碎片"
"tconstruct:shard:0","青铜 碎片"
"tconstruct:shard:0","铅 碎片"
"tconstruct:shard:0","银 碎片"
"tconstruct:shard:0","琥珀金 碎片"
"tconstruct:shard:0","钢 碎片"
"tconstruct:shard:0","泰伯利亚 碎片"
"tconstruct:shard:0","奥罗拉 碎片"
"tconstruct:shard:0","钷 碎片"
"tconstruct:shard:0","杜兰特 碎片"
"tconstruct:shard:0","瓦雷利亚 碎片"
"tconstruct:shard:0","振金 碎片"
"tconstruct:shard:0","地母 碎片"
"tconstruct:shard:0","钯 碎片"
"tconstruct:shard:0","乌鲁 碎片"
"tconstruct:shard:0","零素 碎片"
"tconstruct:shard:0","玄武岩 碎片"
"tconstruct:shard:0","泰伯利安 碎片"
"tconstruct:shard:0","碎金 碎片"
"tconstruct:shard:0","瑟蓝 碎片"
"tconstruct:shard:0","普罗克希 碎片"
"tconstruct:shard:0","漩金 碎片"
"tconstruct:shard:0","焰晶 碎片"
"tconstruct:shard:0","帝金 碎片"
"tconstruct:shard:0","阳光合金 碎片"
"tconstruct:shard:0","异界金属 碎片"
"tconstruct:shard:0","精金 碎片"
"tconstruct:shard:0","狄奥尼 碎片"
"tconstruct:shard:0","辐光合金 碎片"
"tconstruct:shard:0","流明 碎片"
"tconstruct:shard:0","赛姆 碎片"
"tconstruct:shard:0","阿斯特里姆 碎片"
"tconstruct:shard:0","铌 碎片"
"tconstruct:shard:0","原金 碎片"
"tconstruct:shard:0","陨铁 碎片"
"tconstruct:shard:0","黑陨铁 碎片"
"tconstruct:shard:0","蓝宝石 碎片"
"tconstruct:shard:0","紫水晶 碎片"
"tconstruct:shard:0","黄玉 碎片"
"tconstruct:shard:0","坦桑石 碎片"
"tconstruct:shard:0","孔雀石 碎片"
"tconstruct:shard:0","殷钢 碎片"
"tconstruct:shard:0","耐酸铝 碎片"
"tconstruct:shard:0","铱 碎片"
"tconstruct:shard:0","红宝石 碎片"
"tconstruct:shard:0","橄榄石 碎片"
"tconstruct:shard:0","琥珀 碎片"
"tconstruct:shard:0","镍 碎片"
"tconstruct:shard:0","魔法木质碎片"
"tconstruct:shard:0","恶魔灌注碎片"
"tconstruct:shard:0","附魔碎片"
"tconstruct:shard:0","恶魔碎片"
"tconstruct:shard:0","深渊锭 碎片"
"tconstruct:shard:0","精制珊瑚锭 碎片"
"tconstruct:shard:0","恐惧金属 碎片"
"tconstruct:shard:0","防腐木 碎片"
"tconstruct:shard:0","康铜 碎片"
"tconstruct:shard:0","绿宝石 碎片"
"tconstruct:shard:0","木 碎片"
"tconstruct:sharpening_kit:0","龙骨 磨制工具"
"tconstruct:sharpening_kit:0","沙漠蚁甲 磨制工具"
"tconstruct:sharpening_kit:0","丛林蚁甲 磨制工具"
"tconstruct:sharpening_kit:0","龙炎钢 磨制工具"
"tconstruct:sharpening_kit:0","龙霜钢 磨制工具"
"tconstruct:sharpening_kit:0","娜迦鳞片 磨制工具"
"tconstruct:sharpening_kit:0","钢叶 磨制工具"
"tconstruct:sharpening_kit:0","炽铁 磨制工具"
"tconstruct:sharpening_kit:0","骑士金属 磨制工具"
"tconstruct:sharpening_kit:0","圆石 磨制工具"
"tconstruct:sharpening_kit:0","燧石 磨制工具"
"tconstruct:sharpening_kit:0","仙人掌 磨制工具"
"tconstruct:sharpening_kit:0","骨头 磨制工具"
"tconstruct:sharpening_kit:0","黑曜石 磨制工具"
"tconstruct:sharpening_kit:0","海晶石 磨制工具"
"tconstruct:sharpening_kit:0","末地石 磨制工具"
"tconstruct:sharpening_kit:0","纸 磨制工具"
"tconstruct:sharpening_kit:0","海绵 磨制工具"
"tconstruct:sharpening_kit:0","烈焰木 磨制工具"
"tconstruct:sharpening_kit:0","铁 磨制工具"
"tconstruct:sharpening_kit:0","生铁 磨制工具"
"tconstruct:sharpening_kit:0","骑士史莱姆 磨制工具"
"tconstruct:sharpening_kit:0","史莱姆 磨制工具"
"tconstruct:sharpening_kit:0","史莱姆 磨制工具"
"tconstruct:sharpening_kit:0","熔岩史莱姆 磨制工具"
"tconstruct:sharpening_kit:0","地狱岩 磨制工具"
"tconstruct:sharpening_kit:0","钴 磨制工具"
"tconstruct:sharpening_kit:0","阿迪特 磨制工具"
"tconstruct:sharpening_kit:0","玛玉灵 磨制工具"
"tconstruct:sharpening_kit:0","铜 磨制工具"
"tconstruct:sharpening_kit:0","青铜 磨制工具"
"tconstruct:sharpening_kit:0","铅 磨制工具"
"tconstruct:sharpening_kit:0","银 磨制工具"
"tconstruct:sharpening_kit:0","琥珀金 磨制工具"
"tconstruct:sharpening_kit:0","钢 磨制工具"
"tconstruct:sharpening_kit:0","泰伯利亚 磨制工具"
"tconstruct:sharpening_kit:0","奥罗拉 磨制工具"
"tconstruct:sharpening_kit:0","钷 磨制工具"
"tconstruct:sharpening_kit:0","杜兰特 磨制工具"
"tconstruct:sharpening_kit:0","瓦雷利亚 磨制工具"
"tconstruct:sharpening_kit:0","振金 磨制工具"
"tconstruct:sharpening_kit:0","地母 磨制工具"
"tconstruct:sharpening_kit:0","钯 磨制工具"
"tconstruct:sharpening_kit:0","乌鲁 磨制工具"
"tconstruct:sharpening_kit:0","零素 磨制工具"
"tconstruct:sharpening_kit:0","玄武岩 磨制工具"
"tconstruct:sharpening_kit:0","泰伯利安 磨制工具"
"tconstruct:sharpening_kit:0","碎金 磨制工具"
"tconstruct:sharpening_kit:0","瑟蓝 磨制工具"
"tconstruct:sharpening_kit:0","普罗克希 磨制工具"
"tconstruct:sharpening_kit:0","漩金 磨制工具"
"tconstruct:sharpening_kit:0","焰晶 磨制工具"
"tconstruct:sharpening_kit:0","帝金 磨制工具"
"tconstruct:sharpening_kit:0","阳光合金 磨制工具"
"tconstruct:sharpening_kit:0","异界金属 磨制工具"
"tconstruct:sharpening_kit:0","精金 磨制工具"
"tconstruct:sharpening_kit:0","狄奥尼 磨制工具"
"tconstruct:sharpening_kit:0","辐光合金 磨制工具"
"tconstruct:sharpening_kit:0","流明 磨制工具"
"tconstruct:sharpening_kit:0","赛姆 磨制工具"
"tconstruct:sharpening_kit:0","阿斯特里姆 磨制工具"
"tconstruct:sharpening_kit:0","铌 磨制工具"
"tconstruct:sharpening_kit:0","原金 磨制工具"
"tconstruct:sharpening_kit:0","陨铁 磨制工具"
"tconstruct:sharpening_kit:0","黑陨铁 磨制工具"
"tconstruct:sharpening_kit:0","蓝宝石 磨制工具"
"tconstruct:sharpening_kit:0","紫水晶 磨制工具"
"tconstruct:sharpening_kit:0","黄玉 磨制工具"
"tconstruct:sharpening_kit:0","坦桑石 磨制工具"
"tconstruct:sharpening_kit:0","孔雀石 磨制工具"
"tconstruct:sharpening_kit:0","殷钢 磨制工具"
"tconstruct:sharpening_kit:0","耐酸铝 磨制工具"
"tconstruct:sharpening_kit:0","铱 磨制工具"
"tconstruct:sharpening_kit:0","红宝石 磨制工具"
"tconstruct:sharpening_kit:0","橄榄石 磨制工具"
"tconstruct:sharpening_kit:0","琥珀 磨制工具"
"tconstruct:sharpening_kit:0","镍 磨制工具"
"tconstruct:sharpening_kit:0","魔法木质磨制工具"
"tconstruct:sharpening_kit:0","恶魔灌注磨制工具"
"tconstruct:sharpening_kit:0","附魔磨制工具"
"tconstruct:sharpening_kit:0","恶魔磨制工具"
"tconstruct:sharpening_kit:0","深渊锭 磨制工具"
"tconstruct:sharpening_kit:0","精制珊瑚锭 磨制工具"
"tconstruct:sharpening_kit:0","恐惧金属 磨制工具"
"tconstruct:sharpening_kit:0","防腐木 磨制工具"
"tconstruct:sharpening_kit:0","康铜 磨制工具"
"tconstruct:sharpening_kit:0","绿宝石 磨制工具"
"tconstruct:sharpening_kit:0","木 磨制工具"
"tconstruct:pick_head:0","龙骨 镐头"
"tconstruct:pick_head:0","沙漠蚁甲 镐头"
"tconstruct:pick_head:0","丛林蚁甲 镐头"
"tconstruct:pick_head:0","龙炎钢 镐头"
"tconstruct:pick_head:0","龙霜钢 镐头"
"tconstruct:pick_head:0","娜迦鳞片 镐头"
"tconstruct:pick_head:0","钢叶 镐头"
"tconstruct:pick_head:0","炽铁 镐头"
"tconstruct:pick_head:0","骑士金属 镐头"
"tconstruct:pick_head:0","圆石 镐头"
"tconstruct:pick_head:0","燧石 镐头"
"tconstruct:pick_head:0","仙人掌 镐头"
"tconstruct:pick_head:0","骨头 镐头"
"tconstruct:pick_head:0","黑曜石 镐头"
"tconstruct:pick_head:0","海晶石 镐头"
"tconstruct:pick_head:0","末地石 镐头"
"tconstruct:pick_head:0","纸 镐头"
"tconstruct:pick_head:0","海绵 镐头"
"tconstruct:pick_head:0","烈焰木 镐头"
"tconstruct:pick_head:0","铁 镐头"
"tconstruct:pick_head:0","生铁 镐头"
"tconstruct:pick_head:0","骑士史莱姆 镐头"
"tconstruct:pick_head:0","史莱姆 镐头"
"tconstruct:pick_head:0","史莱姆 镐头"
"tconstruct:pick_head:0","熔岩史莱姆 镐头"
"tconstruct:pick_head:0","地狱岩 镐头"
"tconstruct:pick_head:0","钴 镐头"
"tconstruct:pick_head:0","阿迪特 镐头"
"tconstruct:pick_head:0","玛玉灵 镐头"
"tconstruct:pick_head:0","铜 镐头"
"tconstruct:pick_head:0","青铜 镐头"
"tconstruct:pick_head:0","铅 镐头"
"tconstruct:pick_head:0","银 镐头"
"tconstruct:pick_head:0","琥珀金 镐头"
"tconstruct:pick_head:0","钢 镐头"
"tconstruct:pick_head:0","泰伯利亚 镐头"
"tconstruct:pick_head:0","奥罗拉 镐头"
"tconstruct:pick_head:0","钷 镐头"
"tconstruct:pick_head:0","杜兰特 镐头"
"tconstruct:pick_head:0","瓦雷利亚 镐头"
"tconstruct:pick_head:0","振金 镐头"
"tconstruct:pick_head:0","地母 镐头"
"tconstruct:pick_head:0","钯 镐头"
"tconstruct:pick_head:0","乌鲁 镐头"
"tconstruct:pick_head:0","零素 镐头"
"tconstruct:pick_head:0","玄武岩 镐头"
"tconstruct:pick_head:0","泰伯利安 镐头"
"tconstruct:pick_head:0","碎金 镐头"
"tconstruct:pick_head:0","瑟蓝 镐头"
"tconstruct:pick_head:0","普罗克希 镐头"
"tconstruct:pick_head:0","漩金 镐头"
"tconstruct:pick_head:0","焰晶 镐头"
"tconstruct:pick_head:0","帝金 镐头"
"tconstruct:pick_head:0","阳光合金 镐头"
"tconstruct:pick_head:0","异界金属 镐头"
"tconstruct:pick_head:0","精金 镐头"
"tconstruct:pick_head:0","狄奥尼 镐头"
"tconstruct:pick_head:0","辐光合金 镐头"
"tconstruct:pick_head:0","流明 镐头"
"tconstruct:pick_head:0","赛姆 镐头"
"tconstruct:pick_head:0","阿斯特里姆 镐头"
"tconstruct:pick_head:0","铌 镐头"
"tconstruct:pick_head:0","原金 镐头"
"tconstruct:pick_head:0","陨铁 镐头"
"tconstruct:pick_head:0","黑陨铁 镐头"
"tconstruct:pick_head:0","蓝宝石 镐头"
"tconstruct:pick_head:0","紫水晶 镐头"
"tconstruct:pick_head:0","黄玉 镐头"
"tconstruct:pick_head:0","坦桑石 镐头"
"tconstruct:pick_head:0","孔雀石 镐头"
"tconstruct:pick_head:0","殷钢 镐头"
"tconstruct:pick_head:0","耐酸铝 镐头"
"tconstruct:pick_head:0","铱 镐头"
"tconstruct:pick_head:0","红宝石 镐头"
"tconstruct:pick_head:0","橄榄石 镐头"
"tconstruct:pick_head:0","琥珀 镐头"
"tconstruct:pick_head:0","镍 镐头"
"tconstruct:pick_head:0","魔法木质镐头"
"tconstruct:pick_head:0","恶魔灌注镐头"
"tconstruct:pick_head:0","附魔镐头"
"tconstruct:pick_head:0","恶魔镐头"
"tconstruct:pick_head:0","深渊锭 镐头"
"tconstruct:pick_head:0","精制珊瑚锭 镐头"
"tconstruct:pick_head:0","恐惧金属 镐头"
"tconstruct:pick_head:0","防腐木 镐头"
"tconstruct:pick_head:0","康铜 镐头"
"tconstruct:pick_head:0","绿宝石 镐头"
"tconstruct:pick_head:0","木 镐头"
"tconstruct:shovel_head:0","龙骨 铲头"
"tconstruct:shovel_head:0","沙漠蚁甲 铲头"
"tconstruct:shovel_head:0","丛林蚁甲 铲头"
"tconstruct:shovel_head:0","龙炎钢 铲头"
"tconstruct:shovel_head:0","龙霜钢 铲头"
"tconstruct:shovel_head:0","娜迦鳞片 铲头"
"tconstruct:shovel_head:0","钢叶 铲头"
"tconstruct:shovel_head:0","炽铁 铲头"
"tconstruct:shovel_head:0","骑士金属 铲头"
"tconstruct:shovel_head:0","圆石 铲头"
"tconstruct:shovel_head:0","燧石 铲头"
"tconstruct:shovel_head:0","仙人掌 铲头"
"tconstruct:shovel_head:0","骨头 铲头"
"tconstruct:shovel_head:0","黑曜石 铲头"
"tconstruct:shovel_head:0","海晶石 铲头"
"tconstruct:shovel_head:0","末地石 铲头"
"tconstruct:shovel_head:0","纸 铲头"
"tconstruct:shovel_head:0","海绵 铲头"
"tconstruct:shovel_head:0","烈焰木 铲头"
"tconstruct:shovel_head:0","铁 铲头"
"tconstruct:shovel_head:0","生铁 铲头"
"tconstruct:shovel_head:0","骑士史莱姆 铲头"
"tconstruct:shovel_head:0","史莱姆 铲头"
"tconstruct:shovel_head:0","史莱姆 铲头"
"tconstruct:shovel_head:0","熔岩史莱姆 铲头"
"tconstruct:shovel_head:0","地狱岩 铲头"
"tconstruct:shovel_head:0","钴 铲头"
"tconstruct:shovel_head:0","阿迪特 铲头"
"tconstruct:shovel_head:0","玛玉灵 铲头"
"tconstruct:shovel_head:0","铜 铲头"
"tconstruct:shovel_head:0","青铜 铲头"
"tconstruct:shovel_head:0","铅 铲头"
"tconstruct:shovel_head:0","银 铲头"
"tconstruct:shovel_head:0","琥珀金 铲头"
"tconstruct:shovel_head:0","钢 铲头"
"tconstruct:shovel_head:0","泰伯利亚 铲头"
"tconstruct:shovel_head:0","奥罗拉 铲头"
"tconstruct:shovel_head:0","钷 铲头"
"tconstruct:shovel_head:0","杜兰特 铲头"
"tconstruct:shovel_head:0","瓦雷利亚 铲头"
"tconstruct:shovel_head:0","振金 铲头"
"tconstruct:shovel_head:0","地母 铲头"
"tconstruct:shovel_head:0","钯 铲头"
"tconstruct:shovel_head:0","乌鲁 铲头"
"tconstruct:shovel_head:0","零素 铲头"
"tconstruct:shovel_head:0","玄武岩 铲头"
"tconstruct:shovel_head:0","泰伯利安 铲头"
"tconstruct:shovel_head:0","碎金 铲头"
"tconstruct:shovel_head:0","瑟蓝 铲头"
"tconstruct:shovel_head:0","普罗克希 铲头"
"tconstruct:shovel_head:0","漩金 铲头"
"tconstruct:shovel_head:0","焰晶 铲头"
"tconstruct:shovel_head:0","帝金 铲头"
"tconstruct:shovel_head:0","阳光合金 铲头"
"tconstruct:shovel_head:0","异界金属 铲头"
"tconstruct:shovel_head:0","精金 铲头"
"tconstruct:shovel_head:0","狄奥尼 铲头"
"tconstruct:shovel_head:0","辐光合金 铲头"
"tconstruct:shovel_head:0","流明 铲头"
"tconstruct:shovel_head:0","赛姆 铲头"
"tconstruct:shovel_head:0","阿斯特里姆 铲头"
"tconstruct:shovel_head:0","铌 铲头"
"tconstruct:shovel_head:0","原金 铲头"
"tconstruct:shovel_head:0","陨铁 铲头"
"tconstruct:shovel_head:0","黑陨铁 铲头"
"tconstruct:shovel_head:0","蓝宝石 铲头"
"tconstruct:shovel_head:0","紫水晶 铲头"
"tconstruct:shovel_head:0","黄玉 铲头"
"tconstruct:shovel_head:0","坦桑石 铲头"
"tconstruct:shovel_head:0","孔雀石 铲头"
"tconstruct:shovel_head:0","殷钢 铲头"
"tconstruct:shovel_head:0","耐酸铝 铲头"
"tconstruct:shovel_head:0","铱 铲头"
"tconstruct:shovel_head:0","红宝石 铲头"
"tconstruct:shovel_head:0","橄榄石 铲头"
"tconstruct:shovel_head:0","琥珀 铲头"
"tconstruct:shovel_head:0","镍 铲头"
"tconstruct:shovel_head:0","魔法木质铲头"
"tconstruct:shovel_head:0","恶魔灌注铲头"
"tconstruct:shovel_head:0","附魔铲头"
"tconstruct:shovel_head:0","恶魔铲头"
"tconstruct:shovel_head:0","深渊锭 铲头"
"tconstruct:shovel_head:0","精制珊瑚锭 铲头"
"tconstruct:shovel_head:0","恐惧金属 铲头"
"tconstruct:shovel_head:0","防腐木 铲头"
